白名单,#genre#
白名单测速,#genre#
http://47.120.41.246:8899/zb.txt,#genre#
CGTN-1,http://111.43.126.240:9003/hls/32/index.m3u8
CGTN-2,http://111.43.126.240:9003/hls/33/index.m3u8
炫动卡通,http://111.43.126.240:9003/hls/72/index.m3u8
武博世界,http://111.43.126.240:9003/hls/95/index.m3u8
热播精选,http://111.43.126.240:9003/hls/98/index.m3u8
咪咕精彩足球,http://111.43.126.240:9003/hls/103/index.m3u8
咪咕精彩体育,http://111.43.126.240:9003/hls/104/index.m3u8
精品综艺,http://111.43.126.240:9003/hls/97/index.m3u8
精品记录,http://111.43.126.240:9003/hls/88/index.m3u8
惊辣悬疑,http://111.43.126.240:9003/hls/77/index.m3u8
黑龙江新闻,http://111.43.126.240:9003/hls/10/index.m3u8
黑龙江公共,http://111.43.126.240:9003/hls/11/index.m3u8
嗨看暑假,http://111.43.126.240:9003/hls/79/index.m3u8
哈尔滨新闻,http://111.43.126.240:9003/hls/1/index.m3u8
潮妈辣妹,http://111.43.126.240:9003/hls/94/index.m3u8
CGTN,http://ygbh.site/php/bfgd.php?id=134
CGTN,http://ygbh.site/php/bfgd.php?id=305
CGTN阿拉伯语,http://ygbh.site/php/bfgd.php?id=308
CGTN俄语,http://ygbh.site/php/bfgd.php?id=309
CGTN法语,http://ygbh.site/php/bfgd.php?id=307
CGTN西班牙语,http://ygbh.site/php/bfgd.php?id=306
本溪综合,http://ygbh.site/php/bfgd.php?id=312
财富天下,http://ygbh.site/php/bfgd.php?id=231
茶频道,http://ygbh.site/php/bfgd.php?id=181
车迷频道,http://ygbh.site/php/bfgd.php?id=146
大连新闻综合,http://ygbh.site/php/bfgd.php?id=273
丹东新闻综合,http://ygbh.site/php/bfgd.php?id=276
电视指南,http://ygbh.site/php/bfgd.php?id=164
电子体育,http://ygbh.site/php/bfgd.php?id=143
儿童动漫,http://ygbh.site/php/bfgd.php?id=293
发现之旅,http://ygbh.site/php/bfgd.php?id=151
抚顺综合,http://ygbh.site/php/bfgd.php?id=275
阜新综合,http://ygbh.site/php/bfgd.php?id=279
国学频道,http://ygbh.site/php/bfgd.php?id=169
葫芦岛新闻综合,http://ygbh.site/php/bfgd.php?id=284
环球旅游,http://ygbh.site/php/bfgd.php?id=147
绘画,http://ygbh.site/php/bfgd.php?id=297
纪录片,http://ygbh.site/php/bfgd.php?id=295
家庭理财,http://ygbh.site/php/bfgd.php?id=139
家政,http://ygbh.site/php/bfgd.php?id=167
锦州新闻综合,http://ygbh.site/php/bfgd.php?id=277
老故事,http://ygbh.site/php/bfgd.php?id=166
连山区综合,http://ygbh.site/php/bfgd.php?id=491
辽宁新动漫,http://ygbh.site/php/bfgd.php?id=140
辽阳新闻综合,http://ygbh.site/php/bfgd.php?id=280
龙港区综合,http://ygbh.site/php/bfgd.php?id=490
盘锦新闻综合,http://ygbh.site/php/bfgd.php?id=283
求索地理,http://ygbh.site/php/bfgd.php?id=286
山东教育卫视,http://ygbh.site/php/bfgd.php?id=112
社区老年教育课堂,http://ygbh.site/php/bfgd.php?id=615
摄影频道,http://ygbh.site/php/bfgd.php?id=222
沈阳新闻综合,http://ygbh.site/php/bfgd.php?id=059
生态环境,http://ygbh.site/php/bfgd.php?id=149
收藏天下,http://ygbh.site/php/bfgd.php?id=155
书画,http://ygbh.site/php/bfgd.php?id=180
天元围棋,http://ygbh.site/php/bfgd.php?id=633
天元围棋,http://ygbh.site/php/bfgd.php?id=144
铁岭新闻综合,http://ygbh.site/php/bfgd.php?id=281
外国影院,http://ygbh.site/php/bfgd.php?id=291
网络棋牌,http://ygbh.site/php/bfgd.php?id=141
午夜影院,http://ygbh.site/php/bfgd.php?id=294
先锋乒羽,http://ygbh.site/php/bfgd.php?id=349
营口新闻综合,http://ygbh.site/php/bfgd.php?id=278
优优宝贝,http://ygbh.site/php/bfgd.php?id=153
游戏竞技,http://ygbh.site/php/bfgd.php?id=296
游戏竞技,http://ygbh.site/php/bfgd.php?id=142
中国天气,http://ygbh.site/php/bfgd.php?id=160
中华特产,http://ygbh.site/php/bfgd.php?id=158
重温经典,http://ygbh.site/php/bfgd.php?id=636
综艺,http://ygbh.site/php/bfgd.php?id=292
3D影院,http://ygbh.site/php/bfgd.php?id=298
鞍山新闻综合,http://ygbh.site/php/bfgd.php?id=274
百姓健康,http://ygbh.site/php/bfgd.php?id=219
北方导视,http://ygbh.site/php/bfgd.php?id=187
北京纪实科教,http://ygbh.site/php/bfgd.php?id=113
风云音乐,http://sh.lnott.top:880/dx73.m3u8
央视台球,http://sh.lnott.top:880/dx82.m3u8
家庭理财,http://sh.lnott.top:880/dx65.m3u8
兵器科技,http://sh.lnott.top:880/dx81.m3u8
中华特产,http://sh.lnott.top:880/dx83.m3u8
风云剧场,http://sh.lnott.top:880/dx94.m3u8
怀旧剧场,http://sh.lnott.top:880/dx95.m3u8
周润发,http://cfss.cc/cdn/hy/11342387.m3u8
古天乐,http://cfss.cc/cdn/hy/29982675.m3u8
洗冤录,http://cfss.cc/cdn/hy/23903130.m3u8
创世纪,http://cfss.cc/cdn/hy/23749083.m3u8
柳舟计,http://cfss.cc/cdn/hy/23860039.m3u8
洗冤录,http://cfss.cc/cdn/hy/29465851.m3u8
创世纪,http://cfss.cc/cdn/hy/29465852.m3u8
埋堆堆,http://cfss.cc/cdn/hy/23903123.m3u8
王晶电影,http://cfss.cc/cdn/hy/11602058.m3u8
功夫电影,http://cfss.cc/cdn/hy/11352941.m3u8
强森电影,http://cfss.cc/cdn/hy/21059581.m3u8
金庸武侠,http://cfss.cc/cdn/hy/11342435.m3u8
永夜星河,http://cfss.cc/cdn/hy/23734169.m3u8
电影_国产,http://cfss.cc/cdn/hy/11352973.m3u8
电影_斯坦森,http://cfss.cc/cdn/hy/21059588.m3u8
剧集_老三国,http://cfss.cc/cdn/hy/11602081.m3u8
猫和老鼠动漫,http://cfss.cc/cdn/hy/11352879.m3u8
电影_高分动作,http://cfss.cc/cdn/hy/11352884.m3u8
电影_欢笑影院,http://cfss.cc/cdn/hy/11352894.m3u8
电影_国产悬疑,http://cfss.cc/cdn/hy/11342395.m3u8
电影_黑帮斗争,http://cfss.cc/cdn/hy/11342419.m3u8
亮剑,http://cfss.cc/cdn/hy/30080238.m3u8
雪豹,http://cfss.cc/cdn/hy/29580970.m3u8
LoveNatureHD,https://live.tvfix.org/live/lovenature/index.m3u8
无线新闻台,https://live.tvfix.org/live/inews/index.m3u8
美亚电影台,https://live.tvfix.org/live/mydy/index.m3u8
娱乐新闻台,https://live.tvfix.org/live/enews/index.m3u8
美亚电影,https://live.tvfix.org/live/mydy/1/v4000000/index.m3u8
翡翠台,https://live.tvfix.org/live/jade/index.m3u8
天映经典,https://live.tvfix.org/live/tyjd/index.m3u8
凤凰咨询,https://live.tvfix.org/live/fwzx/1/v4000000/index.m3u8
ROCKAction,https://live.tvfix.org/live/rockac/index.m3u8
18台赛马频道,https://live.tvfix.org/live/c18/index.m3u8
tvbs新闻,https://live.tvfix.org/live/tvbsnews/1/v4000000/index.m3u8
中国电影频道,https://live.tvfix.org/live/cmc/index.m3u8
FashionBox,https://live.tvfix.org/live/fashion/index.m3u8
翡翠台,https://live.tvfix.org/live/jade/3/v700000/index.m3u8
TVBPlus,https://live.tvfix.org/live/tvbplus/index.m3u8
18赛马,https://live.tvfix.org/live/c18/4/v200000/index.m3u8
tvbplus,https://live.tvfix.org/live/tvbplus/2/v4000000/index.m3u8
NickJr,https://live.tvfix.org/live/nickjr/index.m3u8
popc,https://live.tvfix.org/live/popc/2/v4000000/index.m3u8
PopC,https://live.tvfix.org/live/popc/index.m3u8
AXN,https://live.tvfix.org/live/axn/index.m3u8
GlobalTrekker,https://live.tvfix.org/live/trekker/index.m3u8
MezzoLiveHD,https://live.tvfix.org/live/mezzon/index.m3u8
天映经典,https://live.tvfix.org/live/tyjd/1/v1000000/index.m3u8
